protocol,config,seed,split,domain,n,threshold,auc,acc,bal_acc,f1_macro,specificity_recall0,sensitivity_recall1,ppv,npv,tn,fp,fn,tp
lodo_busi,effformer_l1,37,val,aul,102,0.27,0.7642045454545454,0.7254901960784313,0.709659090909091,0.6627302786962683,0.6818181818181818,0.7375,0.8939393939393939,0.4166666666666667,15,7,21,59
lodo_busi,effformer_l1,37,test,busi,129,0.27,0.7576633892423366,0.6976744186046512,0.6860902255639099,0.665514261019879,0.7142857142857143,0.6578947368421053,0.49019607843137253,0.8333333333333334,65,26,13,25
lodo_busi,effformer_l1_eca,17,val,combined,602,0.57,0.9168941048034935,0.8554817275747508,0.8645530082484231,0.8220284556022603,0.8819444444444444,0.8471615720524017,0.9580246913580247,0.6446700507614214,127,17,70,388
lodo_busi,effformer_l1_eca,17,val,tn5000,500,0.57,0.9410183016740394,0.892,0.8897128979096192,0.863013698630137,0.8852459016393442,0.8941798941798942,0.9602272727272727,0.7297297297297297,108,14,40,338
lodo_busi,effformer_l1_eca,17,val,aul,102,0.57,0.8079545454545455,0.6764705882352942,0.7443181818181819,0.643545483426877,0.8636363636363636,0.625,0.9433962264150944,0.3877551020408163,19,3,30,50
lodo_busi,effformer_l1_eca,17,test,busi,129,0.57,0.7689415847310583,0.7286821705426356,0.7004048582995952,0.689156626506024,0.7692307692307693,0.631578947368421,0.5333333333333333,0.8333333333333334,70,21,14,24
lodo_busi,effformer_l1_eca,27,val,combined,602,0.32,0.9117994905385735,0.8770764119601329,0.8644620329936924,0.8412447257383966,0.8402777777777778,0.888646288209607,0.9465116279069767,0.7034883720930233,121,23,51,407
lodo_busi,effformer_l1_eca,27,val,tn5000,500,0.32,0.9560456240784109,0.912,0.8918379738051869,0.8832866479925303,0.8524590163934426,0.9312169312169312,0.9513513513513514,0.8,104,18,26,352
lodo_busi,effformer_l1_eca,27,val,aul,102,0.32,0.70625,0.7058823529411765,0.7301136363636364,0.6584821428571428,0.7727272727272727,0.6875,0.9166666666666666,0.40476190476190477,17,5,25,55
lodo_busi,effformer_l1_eca,27,test,busi,129,0.32,0.7249855407750143,0.7441860465116279,0.6654135338345865,0.6735679779158039,0.8571428571428571,0.47368421052631576,0.5806451612903226,0.7959183673469388,78,13,20,18
lodo_busi,effformer_l1_eca,37,val,combined,602,0.41,0.9183193837942747,0.893687707641196,0.8634764677341097,0.8566496011429932,0.8055555555555556,0.9213973799126638,0.9377777777777778,0.7631578947368421,116,28,36,422
lodo_busi,effformer_l1_eca,37,val,tn5000,500,0.41,0.9467646803712378,0.914,0.8903851157949518,0.8850261231343484,0.8442622950819673,0.9365079365079365,0.9490616621983914,0.8110236220472441,103,19,24,354
lodo_busi,effformer_l1_eca,37,val,aul,102,0.41,0.7914772727272728,0.7941176470588235,0.7204545454545455,0.7097167637891313,0.5909090909090909,0.85,0.8831168831168831,0.52,13,9,12,68
lodo_busi,effformer_l1_eca,37,test,busi,129,0.41,0.74117987275882,0.7131782945736435,0.6510989010989011,0.65224043715847,0.8021978021978022,0.5,0.5135135135135135,0.7934782608695652,73,18,19,19
lodo_aul,effformer_l1,17,val,combined,604,0.73,0.9178728518821605,0.8509933774834437,0.8626738952536825,0.8368214401498505,0.8936170212765957,0.8317307692307693,0.9453551912568307,0.7058823529411765,168,20,70,346
lodo_aul,effformer_l1,17,val,tn5000,500,0.73,0.938286061236881,0.862,0.8726472374013358,0.831403843992357,0.8934426229508197,0.8518518518518519,0.9611940298507463,0.6606060606060606,109,13,56,322
