threshold,acc,bal_acc,precision_macro,recall_macro,f1_macro,auc,recall_0,recall_1,tn,fp,fn,tp,model_key,model_display,condition,split,clean_val_threshold,clean_val_temperature,mean_box_iou,checkpoint_count
0.31,0.892,0.88138606991066,0.8459752930993785,0.88138606991066,0.861042490118577,0.9617269494318675,0.860655737704918,0.9021164021164021,105,17,37,341,effformer_l1_eca,EfficientFormer-L1+ECA student,noise_5,val,0.31,1.672381043434143,0.8974570285738712,7
0.31,0.904,0.8920981871801543,0.8619585235006806,0.8920981871801543,0.8752598752598753,0.957997224390667,0.8688524590163934,0.9153439153439153,106,16,32,346,effformer_l1_eca,EfficientFormer-L1+ECA student,noise_10,val,0.31,1.672381043434143,0.8135604121109896,7
0.31,0.874,0.8639300893399254,0.8234279547513057,0.8639300893399254,0.8398079729860303,0.9506678809957498,0.8442622950819673,0.8835978835978836,103,19,44,334,effformer_l1_eca,EfficientFormer-L1+ECA student,noise_20,val,0.31,1.672381043434143,0.6667514401003822,7
0.31,0.902,0.8879998265244167,0.8597957008706842,0.8879998265244167,0.8723419776051355,0.9511666232977707,0.860655737704918,0.9153439153439153,105,17,32,346,effformer_l1_eca,EfficientFormer-L1+ECA student,detector,val,0.31,1.672381043434143,0.7860568885560593,7
0.31,0.582,0.6708083962182323,0.629874198281974,0.6708083962182323,0.5695602924518588,0.7274915430653137,0.8442622950819673,0.4973544973544973,103,19,190,188,effformer_l1_eca,EfficientFormer-L1+ECA student,full_image,val,0.31,1.672381043434143,nan,7
0.31,0.875,0.8599602057028594,0.84121875234592,0.8599602057028594,0.8495931193063475,0.9279792515306451,0.8256227758007118,0.894297635605007,232,49,76,643,effformer_l1_eca,EfficientFormer-L1+ECA student,gt,test,0.31,1.672381043434143,1.0,7
0.31,0.867,0.8543969233662807,0.8312698941446444,0.8543969233662807,0.8412112833113059,0.9284049119229456,0.8256227758007118,0.8831710709318498,232,49,84,635,effformer_l1_eca,EfficientFormer-L1+ECA student,noise_5,test,0.31,1.672381043434143,0.8985827177168292,7
0.31,0.854,0.8399368438766772,0.8161517959482414,0.8399368438766772,0.8261904761904761,0.9291473428397488,0.8078291814946619,0.8720445062586927,227,54,92,627,effformer_l1_eca,EfficientFormer-L1+ECA student,noise_10,test,0.31,1.672381043434143,0.8102815437370148,7
0.31,0.868,0.858344181073951,0.8321702705554714,0.858344181073951,0.8431551480757988,0.9258311514113612,0.8362989323843416,0.8803894297635605,235,46,86,633,effformer_l1_eca,EfficientFormer-L1+ECA student,noise_20,test,0.31,1.672381043434143,0.6622179286845508,7
0.31,0.871,0.8560946153960374,0.8363487611033193,0.8560946153960374,0.8450857972497325,0.9308178124025559,0.8220640569395018,0.8901251738525731,231,50,79,640,effformer_l1_eca,EfficientFormer-L1+ECA student,detector,test,0.31,1.672381043434143,0.7892154860398759,7
0.31,0.56,0.6376541162844798,0.6176902471742746,0.6376541162844798,0.5553741122639946,0.7164681076425838,0.8149466192170819,0.4603616133518776,229,52,388,331,effformer_l1_eca,EfficientFormer-L1+ECA student,full_image,test,0.31,1.672381043434143,nan,7
